venta_id,ts,sku,categoria,rider_id,ciudad,monto_ars,canal
S000000,2026-03-17T10:00:00+00:00,SKU021,accesorio,R0030,Cordoba,1890,app
S000001,2026-05-24T21:00:00+00:00,SKU030,accesorio,R0022,Buenos Aires,3490,app
S000002,2026-06-04T14:00:00+00:00,SKU031,seguro,R0007,Buenos Aires,9990,web
S000003,2026-03-04T03:00:00+00:00,SKU018,recarga,R0018,Buenos Aires,3490,app
S000004,2026-01-27T20:00:00+00:00,SKU009,pase,R0052,Cordoba,9790,estacion
S000005,2026-03-01T01:00:00+00:00,SKU013,recarga,R0074,Buenos Aires,3490,app
S000006,2026-03-30T15:00:00+00:00,SKU025,accesorio,R0057,Cordoba,9790,web
S000007,2026-05-19T03:00:00+00:00,SKU031,seguro,R0012,Cordoba,1890,app
S000008,2026-04-26T07:00:00+00:00,SKU011,recarga,R0003,Buenos Aires,3490,web
S000009,2026-03-09T01:00:00+00:00,SKU014,recarga,R0018,Buenos Aires,9990,app
S000010,2026-04-17T16:00:00+00:00,SKU033,seguro,R0075,Cordoba,1890,estacion
S000011,2026-06-07T12:00:00+00:00,SKU019,recarga,R0114,Buenos Aires,3490,web
S000012,2026-02-22T11:00:00+00:00,SKU020,recarga,R0084,Buenos Aires,1990,app
S000013,2026-03-06T02:00:00+00:00,SKU026,accesorio,R0042,Buenos Aires,9990,web
S000014,2026-02-16T02:00:00+00:00,SKU037,seguro,R0059,Buenos Aires,14990,estacion
S000015,2026-02-20T04:00:00+00:00,SKU028,accesorio,R0095,Cordoba,9790,estacion
S000016,2026-05-29T03:00:00+00:00,SKU018,recarga,R0096,Buenos Aires,3490,web
S000017,2026-02-04T05:00:00+00:00,SKU035,seguro,R0100,Buenos Aires,1990,app
S000018,2026-04-29T12:00:00+00:00,SKU029,accesorio,R0041,Buenos Aires,9990,estacion
S000019,2026-02-12T15:00:00+00:00,SKU029,accesorio,R0100,Cordoba,1890,app
S000020,2026-06-07T15:00:00+00:00,SKU039,seguro,R0015,Cordoba,5790,estacion
S000021,2026-05-11T22:00:00+00:00,SKU006,pase,R0061,Buenos Aires,9990,web
S000022,2026-03-14T04:00:00+00:00,SKU026,accesorio,R0057,Cordoba,3290,app
S000023,2026-05-28T02:00:00+00:00,SKU001,pase,R0098,Buenos Aires,14990,app
S000024,2026-02-17T13:00:00+00:00,SKU029,accesorio,R0008,Buenos Aires,9990,app
S000025,2026-03-07T14:00:00+00:00,SKU040,seguro,R0049,Buenos Aires,5990,web
S000026,2026-02-15T23:00:00+00:00,SKU040,seguro,R0071,Buenos Aires,5990,web
S000027,2026-01-27T01:00:00+00:00,SKU024,accesorio,R0095,Buenos Aires,1990,web
S000028,2026-01-29T13:00:00+00:00,SKU037,seguro,R0005,Buenos Aires,14990,estacion
S000029,2026-01-26T02:00:00+00:00,SKU013,recarga,R0019,Buenos Aires,3490,web
S000030,2026-02-12T08:00:00+00:00,SKU008,pase,R0004,Cordoba,9790,app
S000031,2026-03-10T02:00:00+00:00,SKU028,accesorio,R0064,Cordoba,9790,web
S000032,2026-01-22T22:00:00+00:00,SKU005,pase,R0099,Buenos Aires,5990,web
S000033,2026-04-04T01:00:00+00:00,SKU011,recarga,R0054,Buenos Aires,3490,estacion
S000034,2026-05-15T12:00:00+00:00,SKU039,seguro,R0105,Cordoba,5790,app
S000035,2026-06-12T14:00:00+00:00,SKU037,seguro,R0079,Buenos Aires,14990,estacion
S000036,2026-02-17T15:00:00+00:00,SKU006,pase,R0063,Cordoba,9790,web
S000037,2026-05-10T14:00:00+00:00,SKU017,recarga,R0088,Cordoba,1890,app
S000038,2026-06-13T03:00:00+00:00,SKU017,recarga,R0039,Buenos Aires,5990,web
S000039,2026-02-10T08:00:00+00:00,SKU019,recarga,R0058,Cordoba,5790,app
S000040,2026-04-29T06:00:00+00:00,SKU004,pase,R0059,Buenos Aires,9990,app
S000041,2026-01-25T10:00:00+00:00,SKU002,pase,R0070,Cordoba,3290,web
S000042,2026-05-02T22:00:00+00:00,SKU015,recarga,R0073,Buenos Aires,9990,estacion
S000043,2026-03-17T06:00:00+00:00,SKU004,pase,R0035,Cordoba,1890,app
S000044,2026-05-28T11:00:00+00:00,SKU039,seguro,R0053,Buenos Aires,14990,app
S000045,2026-03-13T21:00:00+00:00,SKU035,seguro,R0089,Buenos Aires,1990,app
S000046,2026-04-12T00:00:00+00:00,SKU015,recarga,R0005,Cordoba,3290,web
S000047,2026-05-11T03:00:00+00:00,SKU009,pase,R0030,Buenos Aires,5990,web
S000048,2026-05-13T12:00:00+00:00,SKU040,seguro,R0029,Buenos Aires,5990,web
S000049,2026-04-26T04:00:00+00:00,SKU036,seguro,R0020,Cordoba,3290,app
S000050,2026-05-21T18:00:00+00:00,SKU021,accesorio,R0100,Cordoba,1890,app
S000051,2026-01-21T08:00:00+00:00,SKU010,pase,R0011,Buenos Aires,9990,estacion
S000052,2026-01-27T15:00:00+00:00,SKU013,recarga,R0053,Cordoba,5790,web
S000053,2026-03-11T05:00:00+00:00,SKU005,pase,R0100,Buenos Aires,5990,estacion
S000054,2026-02-20T19:00:00+00:00,SKU008,pase,R0063,Buenos Aires,1990,app
S000055,2026-04-22T20:00:00+00:00,SKU022,accesorio,R0111,Cordoba,3290,app
S000056,2026-01-31T05:00:00+00:00,SKU010,pase,R0116,Buenos Aires,9990,app
S000057,2026-03-16T18:00:00+00:00,SKU025,accesorio,R0045,Buenos Aires,1990,app
S000058,2026-04-18T23:00:00+00:00,SKU034,seguro,R0119,Buenos Aires,1990,app
S000059,2026-03-23T13:00:00+00:00,SKU029,accesorio,R0106,Cordoba,1890,app
S000060,2026-04-11T16:00:00+00:00,SKU035,seguro,R0080,Buenos Aires,1990,estacion
S000061,2026-01-25T08:00:00+00:00,SKU002,pase,R0019,Cordoba,3290,app
